Sample Count,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),Activity
576,-0.261,0.751,-0.061,75,3
577,-0.25,0.794,-0.092,75,3
578,-0.252,0.839,-0.058,75,3
579,-0.249,0.874,0.008,75,3
580,-0.257,0.902,0.036,75,3
581,-0.272,0.957,0.065,75,3
582,-0.28,1.002,0.111,75,3
583,-0.288,1.023,0.141,75,3
584,-0.3,1.072,0.117,75,3
585,-0.302,1.172,0.056,75,3
586,-0.297,1.261,-0.019,75,3
587,-0.297,1.266,-0.094,75,3
588,-0.322,1.205,-0.157,75,3
589,-0.335,1.114,-0.198,75,3
590,-0.294,1.013,-0.224,75,3
591,-0.226,0.958,-0.236,75,3
592,-0.174,0.916,-0.241,75,3
593,-0.16,0.833,-0.237,75,3
594,-0.173,0.741,-0.204,75,3
595,-0.186,0.68,-0.164,75,3
596,-0.182,0.662,-0.142,75,3
597,-0.186,0.687,-0.131,75,3
598,-0.208,0.787,-0.132,75,3
599,-0.226,0.935,-0.161,75,3
600,-0.231,1.071,-0.189,75,3
601,-0.214,1.169,-0.198,75,3
602,-0.179,1.231,-0.203,75,3
603,-0.129,1.29,-0.232,75,3
604,-0.104,1.333,-0.241,75,3
605,-0.117,1.329,-0.215,75,3
606,-0.098,1.198,-0.195,75,3
607,-0.059,1.046,-0.151,75,3
608,-0.056,1.005,-0.127,75,3
609,-0.082,0.987,-0.141,75,3
610,-0.121,0.95,-0.115,75,3
611,-0.164,0.906,-0.074,75,3
612,-0.199,0.857,-0.054,75,3
613,-0.218,0.806,-0.024,75,3
614,-0.208,0.759,0.005,75,3
615,-0.193,0.754,0.023,75,3
616,-0.204,0.792,0.027,75,3
617,-0.234,0.861,0.019,75,3
618,-0.265,0.946,0.022,75,3
619,-0.277,1.001,0.049,75,3
620,-0.254,1.034,0.074,75,3
621,-0.212,1.06,0.068,75,3
622,-0.216,1.153,0.03,75,3
623,-0.275,1.26,-0.025,75,3
624,-0.311,1.22,-0.071,75,3
625,-0.292,1.143,-0.138,75,3
626,-0.288,1.088,-0.239,75,3
627,-0.283,1.031,-0.266,75,3
628,-0.236,0.997,-0.224,75,3
629,-0.183,0.936,-0.202,75,3
630,-0.143,0.852,-0.186,75,3
631,-0.126,0.777,-0.162,75,3
632,-0.128,0.732,-0.142,75,3
633,-0.132,0.745,-0.127,75,3
634,-0.142,0.814,-0.125,75,3
635,-0.152,0.9,-0.136,75,3
636,-0.158,1,-0.137,75,3
637,-0.162,1.135,-0.135,75,3
638,-0.164,1.265,-0.168,75,3
639,-0.138,1.375,-0.232,75,3
640,-0.082,1.437,-0.267,75,3
641,-0.043,1.378,-0.254,75,3
642,-0.03,1.23,-0.235,75,3
643,-0.046,1.101,-0.243,75,3
644,-0.095,1.016,-0.26,75,3
645,-0.154,0.947,-0.251,75,3
646,-0.201,0.897,-0.222,75,3
647,-0.233,0.848,-0.191,75,3
648,-0.245,0.792,-0.152,75,3
649,-0.232,0.754,-0.112,75,3
650,-0.225,0.758,-0.072,75,3
651,-0.214,0.792,-0.033,75,3
652,-0.196,0.837,-0.001,75,3
653,-0.192,0.897,0.036,75,3
654,-0.179,0.947,0.06,75,3
655,-0.163,0.996,0.063,75,3
656,-0.166,1.071,0.064,75,3
657,-0.178,1.146,0.043,75,3
658,-0.195,1.247,-0.028,75,3
659,-0.215,1.332,-0.123,75,3
660,-0.229,1.271,-0.178,75,3
661,-0.241,1.12,-0.213,75,3
662,-0.257,1.047,-0.278,75,3
663,-0.25,1.034,-0.316,75,3
664,-0.218,1.018,-0.286,75,3
665,-0.18,0.987,-0.262,75,3
666,-0.164,0.909,-0.259,75,3
667,-0.183,0.825,-0.226,75,3
668,-0.195,0.77,-0.171,75,3
669,-0.185,0.729,-0.138,75,3
670,-0.174,0.715,-0.131,75,3
671,-0.193,0.785,-0.131,75,3
672,-0.244,0.902,-0.14,75,3
673,-0.275,0.984,-0.151,75,3
674,-0.255,1.034,-0.151,75,3
675,-0.203,1.091,-0.157,75,3
676,-0.189,1.215,-0.179,75,3
677,-0.229,1.361,-0.192,75,3
678,-0.208,1.366,-0.193,75,3
679,-0.163,1.255,-0.164,75,3
680,-0.145,1.155,-0.138,75,3
681,-0.107,1.074,-0.168,75,3
682,-0.088,0.994,-0.172,75,3
683,-0.099,0.939,-0.133,75,3
684,-0.112,0.904,-0.131,75,3
685,-0.12,0.867,-0.131,75,3
686,-0.124,0.827,-0.08,75,3
687,-0.124,0.803,-0.045,75,3
688,-0.133,0.825,-0.035,75,3
689,-0.132,0.861,-0.012,75,3
690,-0.111,0.891,0.006,75,3
691,-0.102,0.94,0.027,75,3
692,-0.099,0.978,0.061,75,3
693,-0.104,0.983,0.1,75,3
694,-0.141,0.992,0.133,75,3
695,-0.182,1.031,0.138,75,3
696,-0.199,1.082,0.123,75,3
697,-0.199,1.157,0.08,75,3
698,-0.211,1.268,-0.005,75,3
699,-0.218,1.288,-0.067,75,3
700,-0.188,1.18,-0.083,75,3
701,-0.173,1.08,-0.125,75,3
702,-0.187,1.033,-0.199,75,3
703,-0.177,1.009,-0.236,75,3
704,-0.136,0.986,-0.231,75,3
705,-0.104,0.922,-0.226,75,3
706,-0.109,0.835,-0.206,75,3
707,-0.145,0.781,-0.158,75,3
708,-0.178,0.768,-0.111,75,3
