Sample Count,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),Activity
2577,-0.205,0.73,0.108,105,1
2578,-0.202,0.756,0.112,105,1
2579,-0.204,0.82,0.1,105,1
2580,-0.207,0.92,0.094,105,1
2581,-0.217,1.032,0.113,105,1
2582,-0.24,1.151,0.139,105,1
2583,-0.259,1.202,0.178,105,1
2584,-0.248,1.185,0.218,105,1
2585,-0.207,1.187,0.224,105,1
2586,-0.166,1.156,0.214,105,1
2587,-0.146,1.038,0.224,105,1
2588,-0.16,0.887,0.253,105,1
2589,-0.2,0.761,0.264,105,1
2590,-0.247,0.692,0.254,105,1
2591,-0.298,0.698,0.249,105,1
2592,-0.337,0.761,0.269,105,1
2593,-0.358,0.841,0.306,105,1
2594,-0.364,0.944,0.335,105,1
2595,-0.349,1.06,0.345,105,1
2596,-0.312,1.178,0.332,105,1
2597,-0.294,1.286,0.339,105,1
2598,-0.307,1.284,0.349,105,1
2599,-0.306,1.23,0.293,105,1
2600,-0.295,1.214,0.213,105,1
2601,-0.294,1.16,0.163,105,1
2602,-0.285,1.05,0.146,105,1
2603,-0.268,0.929,0.146,105,1
2604,-0.253,0.837,0.14,105,1
2605,-0.236,0.789,0.126,105,1
2606,-0.211,0.77,0.116,105,1
2607,-0.19,0.763,0.119,105,1
2608,-0.186,0.778,0.119,105,1
2609,-0.197,0.841,0.113,105,1
2610,-0.208,0.922,0.138,105,1
2611,-0.217,1.038,0.16,105,1
2612,-0.23,1.197,0.147,105,1
2613,-0.233,1.253,0.167,105,1
2614,-0.205,1.214,0.216,105,1
2615,-0.166,1.176,0.235,105,1
2616,-0.146,1.092,0.229,105,1
2617,-0.156,0.959,0.235,105,1
2618,-0.195,0.825,0.25,105,1
2619,-0.231,0.73,0.253,104,1
2620,-0.257,0.705,0.252,104,1
2621,-0.279,0.747,0.264,104,1
2622,-0.303,0.806,0.29,104,1
2623,-0.32,0.871,0.306,104,1
2624,-0.328,0.968,0.3,104,1
2625,-0.334,1.08,0.285,104,1
2626,-0.348,1.228,0.284,104,1
2627,-0.364,1.319,0.302,104,1
2628,-0.355,1.286,0.283,104,1
2629,-0.327,1.259,0.211,104,1
2630,-0.306,1.234,0.151,104,1
2631,-0.281,1.147,0.129,104,1
2632,-0.258,1.028,0.128,104,1
2633,-0.248,0.915,0.123,104,1
2634,-0.24,0.833,0.1,104,1
2635,-0.229,0.784,0.07,104,1
2636,-0.224,0.764,0.06,104,1
2637,-0.213,0.756,0.079,104,1
2638,-0.203,0.776,0.099,104,1
2639,-0.206,0.854,0.111,104,1
2640,-0.215,0.981,0.128,104,1
2641,-0.238,1.133,0.141,104,1
2642,-0.28,1.21,0.147,104,1
2643,-0.289,1.165,0.221,104,1
2644,-0.253,1.155,0.205,104,1
2645,-0.199,1.069,0.192,104,1
2646,-0.163,0.938,0.207,104,1
2647,-0.183,0.823,0.22,104,1
2648,-0.236,0.753,0.219,104,1
2649,-0.296,0.736,0.218,105,1
2650,-0.335,0.759,0.242,105,1
2651,-0.34,0.809,0.282,105,1
2652,-0.335,0.897,0.309,105,1
2653,-0.328,1.007,0.319,105,1
2654,-0.305,1.129,0.317,105,1
2655,-0.3,1.261,0.322,105,1
2656,-0.329,1.302,0.322,105,1
2657,-0.344,1.281,0.279,105,1
2658,-0.333,1.269,0.218,105,1
2659,-0.306,1.209,0.18,105,1
2660,-0.267,1.088,0.163,105,1
2661,-0.239,0.948,0.151,105,1
2662,-0.229,0.839,0.13,105,1
2663,-0.227,0.778,0.103,105,1
2664,-0.218,0.756,0.094,105,1
2665,-0.209,0.746,0.104,105,1
2666,-0.208,0.755,0.11,105,1
2667,-0.203,0.823,0.108,105,1
2668,-0.196,0.944,0.116,105,1
2669,-0.199,1.085,0.12,105,1
2670,-0.222,1.211,0.126,105,1
2671,-0.248,1.237,0.18,105,1
2672,-0.253,1.214,0.254,105,1
2673,-0.229,1.204,0.28,105,1
2674,-0.176,1.124,0.26,105,1
2675,-0.132,0.974,0.243,105,1
2676,-0.15,0.82,0.235,105,1
2677,-0.211,0.713,0.216,105,1
2678,-0.273,0.674,0.201,105,1
2679,-0.322,0.693,0.226,105,1
2680,-0.342,0.732,0.281,105,1
2681,-0.346,0.806,0.316,105,1
2682,-0.356,0.964,0.323,105,1
2683,-0.358,1.132,0.346,105,1
2684,-0.33,1.276,0.376,105,1
2685,-0.293,1.363,0.398,105,1
2686,-0.268,1.321,0.378,105,1
2687,-0.267,1.253,0.294,105,1
2688,-0.3,1.19,0.21,105,1
2689,-0.328,1.091,0.183,105,1
2690,-0.302,0.974,0.194,105,1
2691,-0.252,0.855,0.184,105,1
2692,-0.22,0.761,0.149,105,1
2693,-0.207,0.717,0.121,105,1
2694,-0.196,0.713,0.119,105,1
2695,-0.188,0.716,0.139,105,1
2696,-0.193,0.745,0.166,105,1
2697,-0.205,0.826,0.202,105,1
2698,-0.192,0.956,0.223,105,1
2699,-0.163,1.148,0.198,105,1
2700,-0.177,1.277,0.162,105,1
2701,-0.235,1.232,0.2,105,1
2702,-0.273,1.166,0.27,105,1
2703,-0.273,1.142,0.274,105,1
2704,-0.216,1.052,0.25,105,1
