Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),Activity
-0.385,-0.918,-0.046,67,0
-0.385,-0.918,-0.048,67,0
-0.39,-0.914,-0.045,67,0
-0.398,-0.915,-0.046,67,0
-0.403,-0.915,-0.049,67,0
-0.401,-0.911,-0.044,67,0
-0.395,-0.91,-0.038,67,0
-0.394,-0.91,-0.038,67,0
-0.397,-0.909,-0.037,67,0
-0.406,-0.911,-0.035,67,0
-0.411,-0.912,-0.034,67,0
-0.408,-0.912,-0.038,67,0
-0.403,-0.909,-0.042,67,0
-0.399,-0.905,-0.041,67,0
-0.399,-0.903,-0.039,67,0
-0.4,-0.906,-0.042,66,0
-0.4,-0.915,-0.045,66,0
-0.394,-0.921,-0.044,66,0
-0.389,-0.923,-0.041,66,0
-0.389,-0.922,-0.044,66,0
-0.39,-0.92,-0.046,66,0
-0.39,-0.918,-0.044,66,0
-0.388,-0.916,-0.043,66,0
-0.388,-0.917,-0.045,66,0
-0.392,-0.919,-0.047,66,0
-0.4,-0.924,-0.055,66,0
-0.42,-0.944,-0.068,66,0
-0.435,-0.95,-0.063,66,0
-0.402,-0.916,-0.036,66,0
-0.354,-0.878,-0.008,66,0
-0.35,-0.872,-0.01,66,0
-0.378,-0.891,-0.032,66,0
-0.406,-0.91,-0.046,66,0
-0.423,-0.915,-0.045,66,0
-0.424,-0.912,-0.039,66,0
-0.422,-0.909,-0.046,66,0
-0.424,-0.908,-0.056,66,0
-0.417,-0.91,-0.055,66,0
-0.408,-0.913,-0.052,66,0
-0.403,-0.916,-0.051,66,0
-0.402,-0.921,-0.052,66,0
-0.398,-0.922,-0.055,66,0
-0.394,-0.92,-0.06,66,0
-0.392,-0.922,-0.059,66,0
-0.389,-0.921,-0.055,66,0
-0.385,-0.918,-0.056,65,0
-0.385,-0.919,-0.059,65,0
-0.389,-0.925,-0.061,65,0
-0.389,-0.926,-0.057,65,0
-0.384,-0.923,-0.051,65,0
-0.384,-0.919,-0.052,65,0
-0.391,-0.917,-0.058,65,0
-0.394,-0.919,-0.061,65,0
-0.392,-0.917,-0.057,65,0
-0.394,-0.913,-0.052,65,0
-0.397,-0.911,-0.053,65,0
-0.391,-0.916,-0.055,65,0
-0.38,-0.92,-0.05,65,0
-0.379,-0.92,-0.046,65,0
-0.384,-0.919,-0.05,65,0
-0.386,-0.92,-0.052,65,0
-0.386,-0.924,-0.052,65,0
-0.386,-0.926,-0.053,65,0
-0.386,-0.927,-0.055,65,0
-0.389,-0.925,-0.055,65,0
-0.39,-0.923,-0.054,65,0
-0.387,-0.926,-0.054,65,0
-0.382,-0.927,-0.056,65,0
-0.379,-0.927,-0.055,65,0
-0.381,-0.927,-0.051,65,0
-0.385,-0.927,-0.051,65,0
-0.387,-0.929,-0.054,65,0
-0.385,-0.931,-0.056,65,0
-0.38,-0.928,-0.055,65,0
-0.376,-0.925,-0.055,65,0
-0.377,-0.926,-0.057,65,0
-0.382,-0.926,-0.057,65,0
-0.384,-0.925,-0.057,65,0
-0.383,-0.924,-0.059,65,0
-0.384,-0.924,-0.059,65,0
-0.385,-0.926,-0.057,65,0
-0.385,-0.927,-0.059,65,0
-0.385,-0.924,-0.06,65,0
-0.385,-0.924,-0.06,65,0
-0.385,-0.927,-0.06,65,0
-0.385,-0.927,-0.062,65,0
-0.384,-0.926,-0.063,65,0
-0.383,-0.924,-0.062,65,0
-0.382,-0.925,-0.062,65,0
-0.383,-0.928,-0.063,65,0
-0.384,-0.93,-0.065,65,0
-0.384,-0.927,-0.066,65,0
-0.383,-0.924,-0.065,65,0
-0.381,-0.926,-0.065,65,0
-0.38,-0.928,-0.064,65,0
-0.384,-0.926,-0.065,65,0
-0.39,-0.919,-0.067,65,0
-0.392,-0.924,-0.064,65,0
-0.385,-0.929,-0.059,65,0
-0.382,-0.929,-0.057,73,0
-0.385,-0.927,-0.058,73,0
-0.387,-0.923,-0.059,73,0
-0.389,-0.921,-0.058,73,0
-0.388,-0.921,-0.059,73,0
-0.388,-0.916,-0.062,73,0
-0.387,-0.909,-0.06,73,0
-0.389,-0.909,-0.056,73,0
-0.397,-0.911,-0.055,73,0
-0.402,-0.914,-0.055,73,0
-0.4,-0.915,-0.056,73,0
-0.394,-0.912,-0.057,73,0
-0.39,-0.914,-0.055,73,0
-0.391,-0.917,-0.053,73,0
-0.399,-0.915,-0.052,73,0
-0.408,-0.911,-0.053,73,0
-0.411,-0.907,-0.054,73,0
-0.408,-0.905,-0.053,73,0
-0.403,-0.906,-0.053,75,0
-0.404,-0.906,-0.056,75,0
-0.405,-0.904,-0.057,75,0
-0.405,-0.902,-0.056,76,0
-0.407,-0.907,-0.053,76,0
-0.407,-0.912,-0.053,76,0
-0.405,-0.913,-0.057,76,0
-0.4,-0.913,-0.058,77,0
-0.396,-0.913,-0.057,77,0
-0.396,-0.914,-0.054,77,0
-0.399,-0.916,-0.052,77,0
-0.401,-0.918,-0.054,77,0
-0.399,-0.917,-0.054,78,0
-0.396,-0.915,-0.054,79,0
-0.395,-0.918,-0.054,80,0
-0.396,-0.917,-0.055,80,0
-0.395,-0.911,-0.055,80,0
-0.394,-0.908,-0.054,80,0
-0.395,-0.911,-0.056,81,0
-0.394,-0.914,-0.054,81,0
-0.393,-0.917,-0.051,81,0
-0.394,-0.916,-0.052,81,0
-0.397,-0.912,-0.054,82,0
-0.403,-0.909,-0.052,82,0
